"Dato";"Positive";"Negative";"Prosent"
"2020-02-24 00:00:00";0;12;0
"2020-02-25 00:00:00";0;62;0
"2020-02-26 00:00:00";2;146;1,35
"2020-02-27 00:00:00";2;247;0,8
"2020-02-28 00:00:00";3;287;1,03
"2020-02-29 00:00:00";6;204;2,83
"2020-03-01 00:00:00";5;230;2,12
"2020-03-02 00:00:00";8;383;2,04
"2020-03-03 00:00:00";20;362;5,24
"2020-03-04 00:00:00";15;326;4,36
"2020-03-05 00:00:00";19;359;4,94
"2020-03-06 00:00:00";25;356;6,48
"2020-03-07 00:00:00";19;296;5,94
"2020-03-08 00:00:00";51;357;12,5
"2020-03-09 00:00:00";275;1232;18,15
"2020-03-10 00:00:00";218;1492;12,72
"2020-03-11 00:00:00";156;1940;7,4
"2020-03-12 00:00:00";180;2864;5,89
"2020-03-13 00:00:00";139;3915;3,41
"2020-03-14 00:00:00";98;2669;3,52
"2020-03-15 00:00:00";86;2828;2,95
"2020-03-16 00:00:00";146;6040;2,36
"2020-03-17 00:00:00";157;6407;2,39
"2020-03-18 00:00:00";204;6593;3
"2020-03-19 00:00:00";224;5757;3,73
"2020-03-20 00:00:00";270;4355;5,82
"2020-03-21 00:00:00";166;1912;7,97
"2020-03-22 00:00:00";131;1040;11,13
"2020-03-23 00:00:00";290;3370;7,92
"2020-03-24 00:00:00";394;3798;9,39
"2020-03-25 00:00:00";282;3123;8,28
"2020-03-26 00:00:00";171;2007;7,85
